"Returns","Returns"
"Please provide an email address or order ID and billing/shipping zip code.","Please provide an email address or order ID and billing/shipping zip code."
"Unable to create carrier model. Invalid carrier code was given.","Unable to create carrier model. Invalid carrier code was given."
"A return label was generated from [%1] with tracking number %2","A return label was generated from [%1] with tracking number %2"
"The selected order has items that do not permit return label generation. Please contact <a href="%1">%2</a> for assistance.","The selected order has items that do not permit return label generation. Please contact <a href="%1">%2</a> for assistance."
"Return labels are not available for orders more than %1 days old.","Return labels are not available for orders more than %1 days old."
"Return labels are not available for orders under %1","Return labels are not available for orders under %1"
"Insufficient information to create shipping label(s).","Insufficient information to create shipping label(s)."
"Could not find any orders associated with email: %1","Could not find any orders associated with email: %1"
"Could not find an order #%1 with billing or shipping zip code: %2","Could not find an order #%1 with billing or shipping zip code: %2"
"Please provide an email address or order ID and billing/shipping zip code.","Please provide an email address or order ID and billing/shipping zip code."
"The requested return label URL was invalid. Please verify and try again.","The requested return label URL was invalid. Please verify and try again."
"The minimum subtotal an order must be to permit returns.","The minimum subtotal an order must be to permit returns."
"The number of days before an order is no longer eligible for prepaid return labels.","The number of days before an order is no longer eligible for prepaid return labels."
"The fixed package weight (in pounds) to set for prepaid return labels.","The fixed package weight (in pounds) to set for prepaid return labels."
"The recipient first name on the return label.","The recipient first name on the return label."
"The recipient last name on the return label.","The recipient last name on the return label."
"The URL to the store return form.","The URL to the store return form."
"Unable to locate RMA information for the requested order.","Unable to locate RMA information for the requested order."
